ITEM 1; Pulidora; HERRAMIENTAS
ITEM 118; T de PVC; PLOMERÍA
ITEM 119; Grifo; PLOMERÍA
ITEM 120; Guantes; SEGURIDAD
ITEM 121; Brocha; PINTURA
ITEM 122; Mascarilla; SEGURIDAD
ITEM 123; Perno; FIJACIÓN
ITEM 124; Taladro; HERRAMIENTAS
ITEM 125; Guantes; SEGURIDAD
ITEM 126; Pintura; PINTURA
ITEM 127; Brocha; PINTURA
ITEM 128; Foco LED; ELECTRICIDAD
ITEM 129; Tapones auditivos; SEGURIDAD
ITEM 130; Cepillo metálico; HERRAMIENTAS
ITEM 131; Lija; PINTURA
ITEM 132; Chaleco reflectivo; SEGURIDAD
ITEM 133; Lámpara; ELECTRICIDAD
ITEM 134; Anclaje; FIJACIÓN
ITEM 135; Interruptor; ELECTRICIDAD
ITEM 136; Martillo; HERRAMIENTAS
ITEM 137; Taladro; HERRAMIENTAS
ITEM 138; Tapones auditivos; SEGURIDAD
ITEM 139; Casco; SEGURIDAD
ITEM 140; Enchufe; ELECTRICIDAD
ITEM 141; Removedor de pintura; PINTURA
ITEM 142; Tapones auditivos; SEGURIDAD
ITEM 143; Manguera; PLOMERÍA
ITEM 144; Removedor de pintura; PINTURA
ITEM 145; Tuerca; FIJACIÓN
ITEM 146; Disolvente; PINTURA
ITEM 147; Clavo; FIJACIÓN
ITEM 148; Grapa; FIJACIÓN
ITEM 149; Cepillo metálico; HERRAMIENTAS
ITEM 150; Lija; PINTURA
ITEM 151; Llave de paso; PLOMERÍA
ITEM 152; Arnés; SEGURIDAD
ITEM 153; Brocha; PINTURA
ITEM 154; Cincel; HERRAMIENTAS
ITEM 155; Mascarilla; SEGURIDAD
ITEM 156; Llave inglesa; HERRAMIENTAS
ITEM 157; Disolvente; PINTURA
ITEM 158; Anclaje; FIJACIÓN
ITEM 159; Cepillo metálico; HERRAMIENTAS
ITEM 160; Pistola de pintura; PINTURA
ITEM 161; Canaleta; ELECTRICIDAD
ITEM 162; Perno; FIJACIÓN
ITEM 163; Clavo; FIJACIÓN
ITEM 164; Foco LED; ELECTRICIDAD
ITEM 165; Mascarilla; SEGURIDAD
ITEM 166; Trampa de agua; PLOMERÍA
ITEM 167; Brocha; PINTURA
ITEM 168; Multímetro; ELECTRICIDAD
ITEM 169; Lima; HERRAMIENTAS
ITEM 170; Trampa de agua; PLOMERÍA
ITEM 171; Tapones auditivos; SEGURIDAD
ITEM 172; Caja de herramientas; HERRAMIENTAS
ITEM 173; Chaveta; FIJACIÓN
ITEM 174; Perno; FIJACIÓN
ITEM 175; Llave de paso; PLOMERÍA
ITEM 176; Toma corriente; ELECTRICIDAD
ITEM 177; Prensa; HERRAMIENTAS
ITEM 178; Interruptor; ELECTRICIDAD
ITEM 179; Grapa; FIJACIÓN
ITEM 180; Cepillo metálico; HERRAMIENTAS
ITEM 181; Tablero eléctrico; ELECTRICIDAD
ITEM 182; Válvula de bola; PLOMERÍA
ITEM 183; Sierra eléctrica; HERRAMIENTAS
ITEM 184; Lija; PINTURA
ITEM 185; Taladro; HERRAMIENTAS
ITEM 186; Brocha; PINTURA
ITEM 187; Alicate; HERRAMIENTAS
ITEM 188; Escuadra; HERRAMIENTAS
ITEM 189; Soldador; HERRAMIENTAS
ITEM 190; Lija; PINTURA
ITEM 191; Guantes; SEGURIDAD
ITEM 192; Casco; SEGURIDAD
ITEM 193; Bandeja para pintura; PINTURA
ITEM 194; Trampa de agua; PLOMERÍA
ITEM 195; Interruptor; ELECTRICIDAD
ITEM 196; Mascarilla; SEGURIDAD
ITEM 197; Martillo; HERRAMIENTAS
ITEM 198; Serrucho; HERRAMIENTAS
ITEM 199; Rodillo; PINTURA
ITEM 200; Anclaje; FIJACIÓN
ITEM 201; Multímetro; ELECTRICIDAD
ITEM 202; Unión roscada; PLOMERÍA
ITEM 203; Foco LED; ELECTRICIDAD
ITEM 204; Grapa; FIJACIÓN
ITEM 205; Codo PVC; PLOMERÍA
ITEM 206; Taladro; HERRAMIENTAS
ITEM 207; Bandeja para pintura; PINTURA
ITEM 208; Trampa de agua; PLOMERÍA
ITEM 209; Perno; FIJACIÓN
ITEM 210; T de PVC; PLOMERÍA
ITEM 211; Lámpara; ELECTRICIDAD
ITEM 212; Multímetro; ELECTRICIDAD
ITEM 213; Tapones auditivos; SEGURIDAD
ITEM 214; Bandeja para pintura; PINTURA
ITEM 215; Soldador; HERRAMIENTAS
ITEM 216; Lima; HERRAMIENTAS
ITEM 217; Taladro; HERRAMIENTAS
ITEM 218; Pintura; PINTURA
ITEM 219; Soldador; HERRAMIENTAS
ITEM 220; Grapa; FIJACIÓN
ITEM 221; Pintura; PINTURA
ITEM 222; Toma corriente; ELECTRICIDAD
ITEM 223; Alicate; HERRAMIENTAS
ITEM 224; Prensa; HERRAMIENTAS
ITEM 225; Guantes; SEGURIDAD
ITEM 226; Válvula de bola; PLOMERÍA
ITEM 227; Guantes; SEGURIDAD
ITEM 228; Flexómetro; HERRAMIENTAS
ITEM 229; Guantes; SEGURIDAD
ITEM 230; Removedor de pintura; PINTURA
ITEM 231; Tapones auditivos; SEGURIDAD
ITEM 232; Toma corriente; ELECTRICIDAD
ITEM 233; Manguera; PLOMERÍA
ITEM 234; Canaleta; ELECTRICIDAD
ITEM 235; Clavo; FIJACIÓN
ITEM 236; Enchufe; ELECTRICIDAD
ITEM 237; Arnés; SEGURIDAD
ITEM 238; Lija; PINTURA
ITEM 239; Cables eléctricos; ELECTRICIDAD
ITEM 240; Bandeja para pintura; PINTURA
ITEM 241; Removedor de pintura; PINTURA
ITEM 242; Arandela; FIJACIÓN
ITEM 243; Manguera; PLOMERÍA
ITEM 244; Arnés; SEGURIDAD
ITEM 245; Tuerca; FIJACIÓN
ITEM 246; Martillo; HERRAMIENTAS
ITEM 247; Chaleco reflectivo; SEGURIDAD
ITEM 248; Arnés; SEGURIDAD
ITEM 249; Enchufe; ELECTRICIDAD
ITEM 250; Tablero eléctrico; ELECTRICIDAD
ITEM 251; Tarugo; FIJACIÓN
ITEM 252; Nivel; HERRAMIENTAS
ITEM 253; Guantes; SEGURIDAD
ITEM 254; Tubo PVC; PLOMERÍA
ITEM 255; Sierra eléctrica; HERRAMIENTAS
ITEM 256; Anclaje; FIJACIÓN
ITEM 257; Botas; SEGURIDAD
ITEM 258; Botas; SEGURIDAD
ITEM 259; Mascarilla; SEGURIDAD
ITEM 260; T de PVC; PLOMERÍA
ITEM 261; Grapa; FIJACIÓN
ITEM 262; Anclaje; FIJACIÓN
ITEM 263; Clavo; FIJACIÓN
ITEM 264; Pintura; PINTURA
ITEM 265; Grifo; PLOMERÍA
ITEM 266; Escuadra; HERRAMIENTAS
ITEM 267; Caja de herramientas; HERRAMIENTAS
ITEM 268; Tarugo; FIJACIÓN
ITEM 269; Rodillo; PINTURA
ITEM 270; Escuadra; HERRAMIENTAS
ITEM 271; Enchufe; ELECTRICIDAD
ITEM 272; T de PVC; PLOMERÍA
ITEM 273; Mascarilla; SEGURIDAD
ITEM 274; Multímetro; ELECTRICIDAD
ITEM 275; Tapones auditivos; SEGURIDAD
ITEM 276; Pintura; PINTURA
ITEM 277; Tornillo; FIJACIÓN
ITEM 278; Soldador; HERRAMIENTAS
ITEM 279; Grapa; FIJACIÓN
ITEM 280; Botas; SEGURIDAD
ITEM 281; Arandela; FIJACIÓN
ITEM 282; Caja de herramientas; HERRAMIENTAS
ITEM 283; Arnés; SEGURIDAD
ITEM 284; Foco LED; ELECTRICIDAD
ITEM 285; Hacha; HERRAMIENTAS
ITEM 286; Trampa de agua; PLOMERÍA
ITEM 287; T de PVC; PLOMERÍA
ITEM 288; Disolvente; PINTURA
ITEM 289; Disyuntor; ELECTRICIDAD
ITEM 290; Removedor de pintura; PINTURA
ITEM 291; Disolvente; PINTURA
ITEM 292; Botas; SEGURIDAD
ITEM 293; Cables eléctricos; ELECTRICIDAD
ITEM 294; Disyuntor; ELECTRICIDAD
ITEM 295; Válvula de bola; PLOMERÍA
ITEM 296; Cincel; HERRAMIENTAS
ITEM 297; Tuerca; FIJACIÓN
ITEM 298; Tornillo; FIJACIÓN
ITEM 299; Serrucho; HERRAMIENTAS
ITEM 300; Canaleta; ELECTRICIDAD
ITEM 301; Unión roscada; PLOMERÍA
ITEM 302; Disolvente; PINTURA
ITEM 303; Grapa; FIJACIÓN
ITEM 304; Arandela; FIJACIÓN
ITEM 305; Pulidora; HERRAMIENTAS
ITEM 306; Chaleco reflectivo; SEGURIDAD
ITEM 307; Cinta teflón; PLOMERÍA
ITEM 308; Codo PVC; PLOMERÍA
ITEM 309; Tablero eléctrico; ELECTRICIDAD
ITEM 310; Remache; FIJACIÓN
ITEM 311; Enchufe; ELECTRICIDAD
ITEM 312; Pintura; PINTURA
ITEM 313; Tornillo; FIJACIÓN
ITEM 314; Unión roscada; PLOMERÍA
ITEM 315; Cables eléctricos; ELECTRICIDAD
ITEM 316; Interruptor; ELECTRICIDAD
ITEM 317; Remache; FIJACIÓN
ITEM 318; Anclaje; FIJACIÓN
ITEM 319; Manguera; PLOMERÍA
ITEM 320; Botas; SEGURIDAD
ITEM 321; Guantes; SEGURIDAD
ITEM 322; Disolvente; PINTURA
ITEM 323; Cepillo metálico; HERRAMIENTAS
ITEM 324; Alicate; HERRAMIENTAS
ITEM 325; Disyuntor; ELECTRICIDAD
ITEM 326; Destornillador; HERRAMIENTAS
ITEM 327; Enchufe; ELECTRICIDAD
ITEM 328; Mascarilla; SEGURIDAD
ITEM 329; Interruptor; ELECTRICIDAD
ITEM 330; Mascarilla; SEGURIDAD
ITEM 331; Hacha; HERRAMIENTAS
ITEM 332; Bandeja para pintura; PINTURA
ITEM 333; Disolvente; PINTURA
ITEM 334; Grapa; FIJACIÓN
ITEM 335; Tarugo; FIJACIÓN
ITEM 336; Grifo; PLOMERÍA
ITEM 337; Remache; FIJACIÓN
ITEM 338; Enchufe; ELECTRICIDAD
ITEM 339; Enchufe; ELECTRICIDAD
ITEM 340; Removedor de pintura; PINTURA
ITEM 341; Multímetro; ELECTRICIDAD
ITEM 342; Llave de paso; PLOMERÍA
ITEM 343; Casco; SEGURIDAD
ITEM 344; Tarugo; FIJACIÓN
ITEM 345; Casco; SEGURIDAD
ITEM 346; Hacha; HERRAMIENTAS
ITEM 347; Manguera; PLOMERÍA
ITEM 348; Brocha; PINTURA
ITEM 349; Cables eléctricos; ELECTRICIDAD
ITEM 350; Cinta teflón; PLOMERÍA
ITEM 351; Serrucho; HERRAMIENTAS
ITEM 352; Chaleco reflectivo; SEGURIDAD
ITEM 353; Foco LED; ELECTRICIDAD
ITEM 354; Manguera; PLOMERÍA
ITEM 355; Pistola de pintura; PINTURA
ITEM 356; Pala; HERRAMIENTAS
ITEM 357; Llave inglesa; HERRAMIENTAS
ITEM 358; Lentes de seguridad; SEGURIDAD
ITEM 359; Mascarilla; SEGURIDAD
ITEM 360; Lámpara; ELECTRICIDAD
ITEM 361; Llave inglesa; HERRAMIENTAS
ITEM 362; Toma corriente; ELECTRICIDAD
ITEM 363; Pistola de pintura; PINTURA
ITEM 364; T de PVC; PLOMERÍA
ITEM 365; Disolvente; PINTURA
ITEM 366; Interruptor; ELECTRICIDAD
ITEM 367; Flexómetro; HERRAMIENTAS
ITEM 368; Toma corriente; ELECTRICIDAD
ITEM 369; Codo PVC; PLOMERÍA
ITEM 370; Tuerca; FIJACIÓN
ITEM 371; Sierra eléctrica; HERRAMIENTAS
ITEM 372; Tuerca; FIJACIÓN
ITEM 373; Caja de herramientas; HERRAMIENTAS
ITEM 374; Tablero eléctrico; ELECTRICIDAD
ITEM 375; Rodillo; PINTURA
ITEM 376; Soldador; HERRAMIENTAS
ITEM 377; Botas; SEGURIDAD
ITEM 378; Remache; FIJACIÓN
ITEM 379; Manguera; PLOMERÍA
ITEM 380; Guantes; SEGURIDAD
ITEM 381; Casco; SEGURIDAD
ITEM 382; Llave de paso; PLOMERÍA
ITEM 383; Cinta teflón; PLOMERÍA
ITEM 384; Toma corriente; ELECTRICIDAD
ITEM 385; Codo PVC; PLOMERÍA
ITEM 386; Serrucho; HERRAMIENTAS
ITEM 387; Manguera; PLOMERÍA
ITEM 388; Botas; SEGURIDAD
ITEM 389; Botas; SEGURIDAD
ITEM 390; Caja de herramientas; HERRAMIENTAS
ITEM 391; Manguera; PLOMERÍA
ITEM 392; Lámpara; ELECTRICIDAD
ITEM 393; Taladro; HERRAMIENTAS
ITEM 394; Arnés; SEGURIDAD
ITEM 395; Arnés; SEGURIDAD
ITEM 396; Llave inglesa; HERRAMIENTAS
ITEM 397; Tornillo; FIJACIÓN
ITEM 398; Tuerca; FIJACIÓN
ITEM 399; Foco LED; ELECTRICIDAD
ITEM 400; Pulidora; HERRAMIENTAS
ITEM 401; Casco; SEGURIDAD
ITEM 402; Grapa; FIJACIÓN
ITEM 403; Rodillo; PINTURA
ITEM 404; Anclaje; FIJACIÓN
ITEM 405; Flexómetro; HERRAMIENTAS
ITEM 406; Tarugo; FIJACIÓN
ITEM 407; Guantes; SEGURIDAD
ITEM 408; Tornillo; FIJACIÓN
ITEM 409; Llave de paso; PLOMERÍA
ITEM 410; Bandeja para pintura; PINTURA
ITEM 411; Grapa; FIJACIÓN
ITEM 412; Chaleco reflectivo; SEGURIDAD
ITEM 413; T de PVC; PLOMERÍA
ITEM 414; Cables eléctricos; ELECTRICIDAD
ITEM 415; Tubo PVC; PLOMERÍA
ITEM 416; Disolvente; PINTURA
ITEM 417; Tarugo; FIJACIÓN
ITEM 418; Pistola de pintura; PINTURA
ITEM 419; Codo PVC; PLOMERÍA
ITEM 420; Disolvente; PINTURA
ITEM 421; Multímetro; ELECTRICIDAD
ITEM 422; Cinta teflón; PLOMERÍA
ITEM 423; Casco; SEGURIDAD
ITEM 424; Lámpara; ELECTRICIDAD
ITEM 425; Mascarilla; SEGURIDAD
ITEM 426; Cinta teflón; PLOMERÍA
ITEM 427; Pistola de pintura; PINTURA
ITEM 428; Foco LED; ELECTRICIDAD
ITEM 429; Mascarilla; SEGURIDAD
ITEM 430; Codo PVC; PLOMERÍA
ITEM 431; Clavo; FIJACIÓN
ITEM 432; Tarugo; FIJACIÓN
ITEM 433; Canaleta; ELECTRICIDAD
ITEM 434; Cables eléctricos; ELECTRICIDAD
ITEM 435; Chaveta; FIJACIÓN
ITEM 436; Lija; PINTURA
ITEM 437; Canaleta; ELECTRICIDAD
ITEM 438; Remache; FIJACIÓN
ITEM 439; Chaveta; FIJACIÓN
ITEM 440; Casco; SEGURIDAD
ITEM 441; Unión roscada; PLOMERÍA
ITEM 442; Chaleco reflectivo; SEGURIDAD
ITEM 443; Multímetro; ELECTRICIDAD
ITEM 444; Codo PVC; PLOMERÍA
ITEM 445; Disolvente; PINTURA
ITEM 446; Perno; FIJACIÓN
ITEM 447; Anclaje; FIJACIÓN
ITEM 448; Bandeja para pintura; PINTURA
ITEM 449; Lija; PINTURA
ITEM 450; Pala; HERRAMIENTAS
ITEM 451; Sierra eléctrica; HERRAMIENTAS
ITEM 452; Foco LED; ELECTRICIDAD
ITEM 453; Perno; FIJACIÓN
ITEM 454; Grapa; FIJACIÓN
ITEM 455; Clavo; FIJACIÓN
ITEM 456; Lija; PINTURA
ITEM 457; Tarugo; FIJACIÓN
ITEM 458; Casco; SEGURIDAD
ITEM 459; Anclaje; FIJACIÓN
ITEM 460; Llave inglesa; HERRAMIENTAS
ITEM 461; Clavo; FIJACIÓN
ITEM 462; Clavo; FIJACIÓN
ITEM 463; Tarugo; FIJACIÓN
ITEM 464; Arandela; FIJACIÓN
ITEM 465; Anclaje; FIJACIÓN
ITEM 466; Tuerca; FIJACIÓN
ITEM 467; Trampa de agua; PLOMERÍA
ITEM 468; Lija; PINTURA
ITEM 469; Taladro; HERRAMIENTAS
ITEM 470; Tuerca; FIJACIÓN
ITEM 471; Grifo; PLOMERÍA
ITEM 472; Clavo; FIJACIÓN
ITEM 473; Chaleco reflectivo; SEGURIDAD
ITEM 474; Clavo; FIJACIÓN
ITEM 475; Grapa; FIJACIÓN
ITEM 476; Remache; FIJACIÓN
ITEM 477; Tablero eléctrico; ELECTRICIDAD
ITEM 478; Tablero eléctrico; ELECTRICIDAD
ITEM 479; Pistola de pintura; PINTURA
ITEM 480; Pala; HERRAMIENTAS
ITEM 481; Lámpara; ELECTRICIDAD
ITEM 482; Tornillo; FIJACIÓN
ITEM 483; Toma corriente; ELECTRICIDAD
ITEM 484; Removedor de pintura; PINTURA
ITEM 485; Pistola de pintura; PINTURA
ITEM 486; Tapones auditivos; SEGURIDAD
ITEM 487; Pintura; PINTURA
ITEM 488; Foco LED; ELECTRICIDAD
ITEM 489; Tapones auditivos; SEGURIDAD
ITEM 490; Chaveta; FIJACIÓN
ITEM 491; Mascarilla; SEGURIDAD
ITEM 492; Clavo; FIJACIÓN
ITEM 493; Manguera; PLOMERÍA
ITEM 494; Brocha; PINTURA
ITEM 495; Manguera; PLOMERÍA
ITEM 496; Manguera; PLOMERÍA
ITEM 497; Botas; SEGURIDAD
ITEM 498; Tapones auditivos; SEGURIDAD
ITEM 499; Llave de paso; PLOMERÍA
ITEM 500; Remache; FIJACIÓN
ITEM 501; Grapa; FIJACIÓN
ITEM 502; Arnés; SEGURIDAD
ITEM 503; Guantes; SEGURIDAD
ITEM 504; Casco; SEGURIDAD
ITEM 505; Interruptor; ELECTRICIDAD
ITEM 506; Tuerca; FIJACIÓN
ITEM 507; Toma corriente; ELECTRICIDAD
ITEM 508; Disyuntor; ELECTRICIDAD
ITEM 509; Removedor de pintura; PINTURA
ITEM 510; Mascarilla; SEGURIDAD
ITEM 511; Lima; HERRAMIENTAS
ITEM 512; Válvula de bola; PLOMERÍA
ITEM 513; Guantes; SEGURIDAD
ITEM 514; Cincel; HERRAMIENTAS
ITEM 515; Disolvente; PINTURA
ITEM 516; Llave Allen; HERRAMIENTAS
ITEM 517; Lija; PINTURA
ITEM 518; Enchufe; ELECTRICIDAD
ITEM 519; Chaveta; FIJACIÓN
ITEM 520; Lámpara; ELECTRICIDAD
ITEM 521; Perno; FIJACIÓN
ITEM 522; Escuadra; HERRAMIENTAS
ITEM 523; Removedor de pintura; PINTURA
ITEM 524; Hacha; HERRAMIENTAS
ITEM 525; Pintura; PINTURA
ITEM 526; Tuerca; FIJACIÓN
ITEM 527; Chaveta; FIJACIÓN
ITEM 528; Enchufe; ELECTRICIDAD
ITEM 529; Cables eléctricos; ELECTRICIDAD
ITEM 530; Tubo PVC; PLOMERÍA
ITEM 531; Interruptor; ELECTRICIDAD
ITEM 532; Foco LED; ELECTRICIDAD
ITEM 533; Tuerca; FIJACIÓN
ITEM 534; Canaleta; ELECTRICIDAD
ITEM 535; Canaleta; ELECTRICIDAD
ITEM 536; Cables eléctricos; ELECTRICIDAD
ITEM 537; Enchufe; ELECTRICIDAD
ITEM 538; Lija; PINTURA
ITEM 539; Llave inglesa; HERRAMIENTAS
ITEM 540; Válvula de bola; PLOMERÍA
ITEM 541; T de PVC; PLOMERÍA
ITEM 542; Tarugo; FIJACIÓN
ITEM 543; T de PVC; PLOMERÍA
ITEM 544; Interruptor; ELECTRICIDAD
ITEM 545; Tarugo; FIJACIÓN
ITEM 546; Cables eléctricos; ELECTRICIDAD
ITEM 547; Sierra eléctrica; HERRAMIENTAS
ITEM 548; Mascarilla; SEGURIDAD
ITEM 549; Pistola de pintura; PINTURA
ITEM 550; Tablero eléctrico; ELECTRICIDAD
ITEM 551; Casco; SEGURIDAD
ITEM 552; Arandela; FIJACIÓN
ITEM 553; Válvula de bola; PLOMERÍA
ITEM 554; Clavo; FIJACIÓN
ITEM 555; Rodillo; PINTURA
ITEM 556; Arandela; FIJACIÓN
ITEM 557; Chaleco reflectivo; SEGURIDAD
ITEM 558; Lija; PINTURA
ITEM 559; Tuerca; FIJACIÓN
ITEM 560; Disyuntor; ELECTRICIDAD
ITEM 561; Llave inglesa; HERRAMIENTAS
ITEM 562; Lija; PINTURA
ITEM 563; Tapones auditivos; SEGURIDAD
ITEM 564; Pistola de pintura; PINTURA
ITEM 565; Canaleta; ELECTRICIDAD
ITEM 566; Foco LED; ELECTRICIDAD
ITEM 567; Casco; SEGURIDAD
ITEM 568; Tapones auditivos; SEGURIDAD
ITEM 569; Clavo; FIJACIÓN
ITEM 570; Manguera; PLOMERÍA
ITEM 571; Prensa; HERRAMIENTAS
ITEM 572; Chaveta; FIJACIÓN
ITEM 573; Interruptor; ELECTRICIDAD
ITEM 574; Mascarilla; SEGURIDAD
ITEM 575; Válvula de bola; PLOMERÍA
ITEM 576; Casco; SEGURIDAD
ITEM 577; Grifo; PLOMERÍA
ITEM 578; Arnés; SEGURIDAD
ITEM 579; Arnés; SEGURIDAD
ITEM 580; Casco; SEGURIDAD
ITEM 581; Nivel; HERRAMIENTAS
ITEM 582; Trampa de agua; PLOMERÍA
ITEM 583; Hacha; HERRAMIENTAS
ITEM 584; Lentes de seguridad; SEGURIDAD
ITEM 585; Remache; FIJACIÓN
ITEM 586; Anclaje; FIJACIÓN
ITEM 587; T de PVC; PLOMERÍA
ITEM 588; Interruptor; ELECTRICIDAD
ITEM 589; Pistola de pintura; PINTURA
ITEM 590; Tornillo; FIJACIÓN
ITEM 591; Arandela; FIJACIÓN
ITEM 592; Taladro; HERRAMIENTAS
ITEM 593; Toma corriente; ELECTRICIDAD
ITEM 594; Tuerca; FIJACIÓN
ITEM 595; Hacha; HERRAMIENTAS
ITEM 596; Taladro; HERRAMIENTAS
ITEM 597; Manguera; PLOMERÍA
ITEM 598; Casco; SEGURIDAD
ITEM 599; Manguera; PLOMERÍA
ITEM 600; Flexómetro; HERRAMIENTAS
ITEM 601; Hacha; HERRAMIENTAS
ITEM 602; Bandeja para pintura; PINTURA
ITEM 603; Martillo; HERRAMIENTAS
ITEM 604; Arandela; FIJACIÓN
ITEM 605; Tapones auditivos; SEGURIDAD
ITEM 606; Manguera; PLOMERÍA
ITEM 607; Arnés; SEGURIDAD
ITEM 608; Grifo; PLOMERÍA
ITEM 609; Pala; HERRAMIENTAS
ITEM 610; Tarugo; FIJACIÓN
ITEM 611; Prensa; HERRAMIENTAS
ITEM 612; Hacha; HERRAMIENTAS
ITEM 613; Multímetro; ELECTRICIDAD
ITEM 614; Llave de paso; PLOMERÍA
ITEM 615; Lija; PINTURA
ITEM 616; Grifo; PLOMERÍA
ITEM 617; Anclaje; FIJACIÓN
ITEM 618; Botas; SEGURIDAD
ITEM 619; Lima; HERRAMIENTAS
ITEM 620; Tubo PVC; PLOMERÍA
ITEM 621; Interruptor; ELECTRICIDAD
